mic1,mic2,mic3,mic4,mic5,angle
49.42,67.99,50.72,36.2,47.44,11
42.05,52.22,45.83,33.23,40.06,11
37.24,43.03,41.13,32.4,36.44,11
34.74,37.52,39.4,29.34,32.65,11
207.46,203.89,210.13,187.43,231.23,11
480.01,457.82,514.15,484.14,570.1,11
629.65,575.52,651.78,632.05,762.02,11
738.59,648.42,697.06,691.07,862.41,11
663,576.74,623.4,612.39,779.02,11
603.96,557.5,599.31,526.38,727.38,11
758.89,737.75,768.17,661.03,856.53,11
872.49,858.83,886.66,769.55,932.53,11
752.01,748.95,772.08,657.17,808.69,11
483.31,491.75,506.45,433.81,532.96,10
456.62,445.25,440.49,359.31,446.2,11
602.87,586.89,558.35,486.1,578.3,11
644.77,651.01,596.91,577.13,666.37,11
572.92,586.46,527.15,527.11,670.74,11
520.84,545.6,567.24,514.62,705.05,11
550.56,569.22,624.5,514.33,687.33,11
503.92,509.35,552.54,441.26,583.66,11
542.21,561.06,588.86,514.53,640.72,11
740.05,758.01,759.85,717.23,819.91,11
809.83,795.3,823.03,748.68,865.61,11
699.23,660.09,721.66,639.82,819.18,11
522.69,487.93,532.25,480.22,659.17,11
439.89,398.31,406.62,363.45,538.12,11
432.29,384.06,409.19,368.73,592.09,11
535.42,510.73,559.71,526.4,728.79,11
698.26,676.53,751.57,736.58,866.35,11
675.42,627.99,718.55,769.29,927.62,11
659.92,593.09,710.4,782.3,959.6,11
785.94,729.31,851.01,871.33,986.56,11
857.93,829.09,924.64,907.51,998.25,11
810.15,792.71,893.73,820.73,939.8,11
676.45,662.08,760.71,659.25,810.8,11
495.27,486.1,561.23,481.51,617.5,11
321.82,330.9,356.49,300.06,394.7,10
390.28,421.79,433.23,322.03,425.44,11
623.23,663.34,686.28,464.01,647.31,11
629.33,684.21,684.71,461.14,694.02,11
511.56,577.25,575.36,405.37,611.54,11
577.03,601.04,625.15,445.59,640.92,11
643.47,614.89,665.96,478.3,669.89,11
532.8,505.69,580.87,419.35,565.95,12
539.11,534.05,580.7,415.84,592.99,11
