mic1,mic2,mic3,mic4,mic5,angle
49.68,51,55.64,44.11,55.21,13
43.62,43.35,47.92,38.32,45.78,13
39.98,37.92,42.94,34.34,39.19,13
37.12,36.05,40.34,32.03,36.95,13
37.54,37.94,39.94,30.82,38.17,13
37.04,39.88,39.73,30.19,38.09,13
36.07,39.46,39.62,29.62,38.52,13
36.99,39,41.71,31.48,41.38,13
39.15,41.39,42.09,33.64,44.31,13
110.08,111.49,122.37,84.73,125.68,13
223.59,221.94,245.31,164.94,251.82,12
265.38,262.13,290.1,192.46,284.65,13
239.38,225.73,254.67,166.66,247.29,13
242.79,225.62,253.87,183.56,286.36,13
302.41,290.35,327.8,263.14,391.13,13
360.31,347.08,391.01,306.58,435.53,13
383.59,377.16,407.5,306.06,450.82,13
392.63,380.67,383.12,290.26,435.6,13
395.91,385.61,382.82,309.02,439.86,13
448.79,454.17,468.73,395.31,529.09,13
496.94,494.25,547.75,439.87,571.12,13
445.33,439.62,511.53,393.31,512.73,13
393.78,418.05,453.66,335.55,438.04,13
420.9,451.49,456.22,319.27,416.74,13
461.35,467.75,465.91,320.81,409.93,13
404.05,404.76,400.21,283.13,363.83,14
283.06,293,281.3,208.96,281.91,15
190.99,208.37,189.36,150.89,205.46,16
151.07,165.64,140.66,123.93,166.03,16
120.92,134.74,109.27,98.14,128.49,17
87.25,104.74,85.47,72.02,95.74,18
92.63,108.93,104.85,77.75,106.14,18
211.14,222.04,235.69,164.88,212.93,19
330.36,336.05,365.64,312.44,338.95,19
321.58,329.09,370.6,337.33,345.19,20
258.91,270.72,309.11,248.48,274.1,20
188.19,202.72,227.06,175.34,196.84,20
128.1,149.55,155.55,118.04,139.54,21
136.18,196.86,167.72,124.24,158.65,21
142.31,211.99,171.92,128.43,167.9,22
105.35,146.97,128.21,98.1,128.26,22
234.99,262.45,272.74,203.96,267.27,22
407.35,420.49,441.16,342.39,449.54,23
366.78,371.97,376.3,299.89,401.95,24
292.3,289.75,298.94,229.66,322.85,25
296.46,287,315.22,241.54,330.81,25
276.16,263.81,303.88,235.78,322.29,25
231.38,224.22,258.28,194.29,279.6,25
194.14,193.99,218.7,157.34,230.79,25
154.15,155.27,207.13,127.77,185.71,24
117.5,114.26,177.66,97.04,138.99,25
88.34,84.02,119.02,68.34,98.36,25
68.33,64.41,86.02,51.44,73.08,25
54.79,51.06,66.17,41.91,57.27,25
65.65,62.27,68.24,51.51,59.53,24
253.48,251.47,267.26,240.84,281.6,25
520.04,508.71,528.19,498.86,613.84,25
538.43,521.28,508.97,492.47,639.5,24
410.09,409.27,387.07,357.9,495.59,24
427.26,447.15,431.5,368.94,493.39,25
527.3,548.92,535.73,425.63,566.6,24
543.89,551.83,539.68,426.76,601.69,24
460.99,461.78,446.6,379.3,565.26,25
323.54,323.71,309.57,271.58,431.27,25
224.07,222.25,213.2,187.16,297.74,25
228.1,226.19,215.97,186.13,275.16,25
290.92,296.38,271.21,224.55,334.13,25
265.62,272.53,250.31,199.43,301.32,25
177.83,177.37,172.47,133.72,194.31,24
121.02,116,117.98,89.87,127.94,25
86.34,80.86,84.28,65.31,87.57,24
112.48,107.7,118.09,93.37,113.59,25
188.75,189.36,204.83,153.2,197.22,25
246.96,248.47,265.15,201.39,277.92,25
254.39,255.18,269.14,204.07,282.26,24
208.54,208.72,219.11,155.99,210.9,24
142.54,141.44,152.36,112.01,144.73,25
92.32,93.42,102.46,78.77,98.24,25
85.95,86.76,96.98,71.23,92.39,25
150.28,156.2,171.58,126.58,157.7,25
257.24,259.86,297.05,236.75,309.17,25
325.02,307.98,373.52,323.89,448.46,25
286.28,262.09,322.35,285.45,406.17,25
192.92,175.51,212.94,180.53,259.78,25
126.74,115.02,139.58,113.82,160.44,25
111.56,109.27,128.54,97.89,130.59,25
