mic1,mic2,mic3,mic4,mic5,angle
746.79,728.32,729.74,703.52,749.53,22
498.51,474.05,515.91,477.13,528.87,21
537.47,516.82,549.66,519.86,556.66,21
766.50,756.68,772.62,757.07,776.76,21
759.33,766.39,788.34,737.67,815.84,21
558.60,579.26,618.69,544.67,644.75,21
355.59,376.89,415.64,368.17,415.85,21
445.91,462.53,487.53,459.41,487.40,21
718.96,727.15,740.68,725.76,740.13,22
787.11,768.44,799.88,739.74,811.07,21
640.28,601.60,651.00,549.34,676.92,21
428.10,399.79,434.66,361.04,469.70,22
269.56,251.91,273.70,228.34,304.41,22
166.02,155.85,168.42,139.01,187.08,22
106.96,100.94,108.45,89.52,120.10,21
73.99,68.46,74.53,63.93,82.04,21
55.83,51.03,55.87,49.38,61.23,21
47.78,44.08,50.91,42.74,55.14,21
234.11,248.44,248.42,176.98,252.53,22
563.96,588.65,582.66,480.59,583.61,21
781.04,794.40,791.28,735.38,791.06,22
866.84,878.12,900.16,838.23,890.24,22
819.11,846.75,884.54,785.05,912.36,22
799.45,838.50,856.79,736.50,912.19,21
872.15,908.30,913.31,795.79,940.07,21
930.65,959.08,961.93,875.25,974.94,21
965.72,965.02,976.78,872.03,991.46,21
846.80,839.50,861.90,710.41,861.67,22
577.48,589.45,620.50,488.61,600.30,21
353.97,363.56,394.83,310.70,384.29,21
231.11,229.90,253.15,203.74,256.25,21
159.34,158.95,174.43,148.41,189.91,21
105.39,107.81,115.18,104.94,132.10,22
72.21,71.09,76.84,72.46,86.15,22
54.18,51.92,56.12,53.35,61.22,21
43.34,42.16,43.63,39.32,45.58,22
38.16,36.82,37.35,32.71,36.22,21
34.97,33.80,35.03,30.94,32.29,21
34.03,31.27,33.82,31.92,32.15,22
34.25,30.90,34.15,31.48,31.12,22
32.94,31.43,35.27,29.58,30.82,21
31.29,30.51,36.10,28.58,30.19,21
31.15,29.55,35.33,27.35,28.67,22
31.80,30.48,33.98,27.18,31.93,21
64.41,62.76,71.76,49.57,65.19,22
180.63,190.53,211.01,149.94,213.08,21
344.08,375.31,409.66,306.79,441.10,21
365.56,395.96,431.34,327.45,468.78,22
254.13,273.10,295.39,222.77,315.65,21
242.83,260.62,283.49,204.47,283.55,22
316.54,334.19,378.16,267.60,373.65,22
326.08,344.86,409.16,288.83,402.74,22
336.32,357.60,424.38,292.26,419.36,22
465.50,484.25,554.01,371.98,554.49,22
597.94,611.31,699.59,486.98,723.51,22
571.91,576.74,668.47,483.40,723.03,22
408.92,407.61,471.02,341.93,518.62,22
296.36,304.76,366.78,246.58,358.16,22
396.35,413.41,498.13,332.12,455.62,22
504.24,521.75,605.17,416.69,587.28,21
484.52,511.11,569.94,374.76,531.45,21
542.36,582.06,610.37,413.60,542.95,21
667.93,697.73,716.57,517.78,673.98,21
722.71,733.48,767.94,575.26,758.14,21
718.78,716.99,761.27,596.65,773.37,22
619.68,607.51,638.27,516.49,675.66,22
432.89,425.58,441.87,371.63,484.58,22
271.10,267.53,278.18,242.24,305.25,21
183.56,193.64,189.64,163.71,213.33,22
145.28,164.41,151.09,127.75,164.40,22
211.13,213.70,220.37,167.79,248.12,22
435.78,419.19,475.99,379.46,512.46,22
669.20,641.66,714.09,601.08,741.50,22
720.50,703.50,756.84,611.80,771.14,22
659.54,658.32,726.80,563.61,751.95,22
558.64,565.17,626.49,494.71,673.56,22
447.65,459.19,500.27,388.23,514.80,21
389.25,401.72,451.85,329.79,430.99,22
342.75,350.46,403.39,278.73,376.01,22
434.19,436.78,496.44,372.33,474.02,22
600.01,600.40,669.31,541.66,647.80,22
556.49,550.01,611.31,494.01,610.37,21
376.49,370.23,411.55,323.08,435.44,21
253.86,255.37,271.20,210.92,293.47,21
253.69,266.19,265.84,193.27,287.75,22
315.51,338.77,346.96,250.28,360.30,23
353.99,382.87,400.05,300.82,414.42,22
362.60,387.95,414.37,305.69,431.19,22
322.39,356.90,380.49,273.57,379.46,22
249.53,308.90,302.08,224.77,316.13,23
169.67,220.97,207.62,157.46,228.33,24
113.65,145.68,138.95,109.19,144.98,24
81.54,103.52,97.62,80.17,98.37,24
59.53,70.04,70.07,55.95,66.64,24
45.17,50.66,54.02,42.11,49.36,24
42.46,42.93,53.05,36.32,51.10,24
46.78,42.49,67.85,35.93,63.96,24
48.80,53.01,75.09,46.00,75.93,24
49.61,63.76,69.31,54.37,75.96,24
44.54,56.23,58.64,48.22,60.92,24
38.54,44.17,47.34,40.46,47.81,24
37.33,38.35,42.64,34.74,39.77,24
37.17,35.07,40.42,30.56,33.67,24
37.81,34.56,38.07,30.05,32.39,24
38.14,34.05,37.08,30.27,31.73,24
35.92,31.88,35.61,30.38,29.71,24
